fid,COUNTRY,ISO_CC,CONTINENT,LAND_TYPE,LAND_RANK,COUNTRYAFF,ID,Continent_2,region,country_2,isoCode,sids,ots,name_descriptor,year_publication,scale_(EAA),oceanAccountComponent,OA_component,environmentalAssets,flowsToEconomy,oceanEconomy,flowsToEnvironment,governance,Compiling_SEEA_CF,Compiling_SEEA_EA,EcosystemExtent,EcosystemCondition,EcosystemServices,MonetaryAccounts,SatelliteAccount,OceanEconomyActivities,SectorSpecific,OESA,BlueEconomy,OceanTourismSatelliteAccount,Links,Links_2,Links_3,OA_components,OA_components_abb,OA_combination_reclass,OA_Count,OA_Count_disagg
17,Anguilla,AIA,North America,Small island,2,United Kingdom,21,America,Caribbean,Anguilla,AIA,FALSE,TRUE,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yes,TRUE,yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://data.jncc.gov.uk/data/62e82176-5053-4733-bd05-e33b15bbf88c/ot-nca-sup-sat-19-ang-nca-jun-2019.pdf,"http://gov.ai/documents/Anguilla%20Ecosystem%20Account%20Draft%20Press%20Release%20December%2031,%202021.pdf",,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
18,Antarctica,ATA,Antarctica,Small island,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
19,Antarctica,ATA,Antarctica,Primary land,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
20,Antarctica,ATA,Antarctica,Large island,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
21,Antarctica,ATA,Antarctica,Medium island,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
22,Antigua and Barbuda,ATG,North America,Small island,2,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
23,Antigua and Barbuda,ATG,North America,Very small island,1,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
24,Antigua and Barbuda,ATG,North America,Primary land,5,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
25,Argentina,ARG,South America,Primary land,5,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
26,Argentina,ARG,South America,Very small island,1,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
27,Argentina,ARG,South America,Small island,2,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
28,Argentina,ARG,South America,Medium island,3,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
29,Armenia,ARM,Asia,Primary land,5,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
30,Aruba,ABW,South America,Small island,2,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
31,Australia,AUS,Australia,Medium island,3,Australia,119,Oceania,,Australia,AUS,FALSE,FALSE,"Australia’s first National Ocean Ecosystem Account,The AIMS Index of Marine Industry","20,222,020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"Yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://eea.environment.gov.au/accounts/ocean-accounts/national-ocean-ecosystem-account,https://www.aims.gov.au/information-centre/aims-index-marine-industry","https://www.abs.gov.au/statistics/detailed-methodology-information/information-papers/measuring-and-valuing-australias-ecosystems,https://www.aims.gov.au/sites/default/files/2021-07/The%20AIMS%20Index%20of%20Marine%20Industry_final_21Jan2021_web.pdf",,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
32,Australia,AUS,Australia,Primary land,5,Australia,119,Oceania,,Australia,AUS,FALSE,FALSE,"Australia’s first National Ocean Ecosystem Account,The AIMS Index of Marine Industry","20,222,020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"Yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://eea.environment.gov.au/accounts/ocean-accounts/national-ocean-ecosystem-account,https://www.aims.gov.au/information-centre/aims-index-marine-industry","https://www.abs.gov.au/statistics/detailed-methodology-information/information-papers/measuring-and-valuing-australias-ecosystems,https://www.aims.gov.au/sites/default/files/2021-07/The%20AIMS%20Index%20of%20Marine%20Industry_final_21Jan2021_web.pdf",,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
33,Australia,AUS,Australia,Very small island,1,Australia,119,Oceania,,Australia,AUS,FALSE,FALSE,"Australia’s first National Ocean Ecosystem Account,The AIMS Index of Marine Industry","20,222,020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"Yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://eea.environment.gov.au/accounts/ocean-accounts/national-ocean-ecosystem-account,https://www.aims.gov.au/information-centre/aims-index-marine-industry","https://www.abs.gov.au/statistics/detailed-methodology-information/information-papers/measuring-and-valuing-australias-ecosystems,https://www.aims.gov.au/sites/default/files/2021-07/The%20AIMS%20Index%20of%20Marine%20Industry_final_21Jan2021_web.pdf",,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
34,Australia,AUS,Australia,Small island,2,Australia,119,Oceania,,Australia,AUS,FALSE,FALSE,"Australia’s first National Ocean Ecosystem Account,The AIMS Index of Marine Industry","20,222,020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"Yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://eea.environment.gov.au/accounts/ocean-accounts/national-ocean-ecosystem-account,https://www.aims.gov.au/information-centre/aims-index-marine-industry","https://www.abs.gov.au/statistics/detailed-methodology-information/information-papers/measuring-and-valuing-australias-ecosystems,https://www.aims.gov.au/sites/default/files/2021-07/The%20AIMS%20Index%20of%20Marine%20Industry_final_21Jan2021_web.pdf",,EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
35,Austria,AUT,Europe,Primary land,5,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
36,Azerbaijan,AZE,Asia,Very small island,1,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
37,Azerbaijan,AZE,Asia,Primary land,5,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
38,Azerbaijan,AZE,Asia,Small island,2,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
39,Azores,PRT,Europe,Small island,2,Portugal,52,Europe,,Portugal,PRT,FALSE,FALSE,Ocean Satellite Account 2016-2018,2018,National,Ocean economic activity,Ocean economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,Yes,,FALSE,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=569531189&att_display=n&att_download=y,https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_cnacionais2010b2016&contexto=cs&selTab=tab3&perfil=392025609&INST=391970535,,OceanEconomy,OEcon,Ocean Economy,1,1
40,Azores,PRT,Europe,Medium island,3,Portugal,52,Europe,,Portugal,PRT,FALSE,FALSE,Ocean Satellite Account 2016-2018,2018,National,Ocean economic activity,Ocean economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,Yes,,FALSE,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=569531189&att_display=n&att_download=y,https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_cnacionais2010b2016&contexto=cs&selTab=tab3&perfil=392025609&INST=391970535,,OceanEconomy,OEcon,Ocean Economy,1,1
41,Azores,PRT,Europe,Very small island,1,Portugal,52,Europe,,Portugal,PRT,FALSE,FALSE,Ocean Satellite Account 2016-2018,2018,National,Ocean economic activity,Ocean economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,Yes,,FALSE,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=569531189&att_display=n&att_download=y,https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_cnacionais2010b2016&contexto=cs&selTab=tab3&perfil=392025609&INST=391970535,,OceanEconomy,OEcon,Ocean Economy,1,1
42,Bahamas,BHS,North America,Very small island,1,Bahamas,27,America,Caribbean,Bahamas,BHS,TRUE,FALSE,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,BESA,FALSE,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,OceanEconomy,OEcon,Ocean Economy,1,1
43,Bahamas,BHS,North America,Medium island,3,Bahamas,27,America,Caribbean,Bahamas,BHS,TRUE,FALSE,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,BESA,FALSE,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,OceanEconomy,OEcon,Ocean Economy,1,1
44,Bahamas,BHS,North America,Primary land,5,Bahamas,27,America,Caribbean,Bahamas,BHS,TRUE,FALSE,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,BESA,FALSE,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,OceanEconomy,OEcon,Ocean Economy,1,1
45,Bahamas,BHS,North America,Small island,2,Bahamas,27,America,Caribbean,Bahamas,BHS,TRUE,FALSE,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,BESA,FALSE,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,OceanEconomy,OEcon,Ocean Economy,1,1
46,Bahrain,BHR,Asia,Small island,2,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
47,Bahrain,BHR,Asia,Primary land,5,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
48,Bahrain,BHR,Asia,Very small island,1,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
49,Bangladesh,BGD,Asia,Primary land,5,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
50,Bangladesh,BGD,Asia,Very small island,1,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
51,Bangladesh,BGD,Asia,Medium island,3,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
52,Bangladesh,BGD,Asia,Small island,2,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
53,Barbados,BRB,North America,Primary land,5,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
54,Belarus,BLR,Europe,Primary land,5,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
55,Belgium,BEL,Europe,Primary land,5,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
56,Belize,BLZ,North America,Very small island,1,Belize,25,America,Caribbean,Belize,BLZ,TRUE,FALSE,Pilot project - GOAP support,,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
57,Belize,BLZ,North America,Small island,2,Belize,25,America,Caribbean,Belize,BLZ,TRUE,FALSE,Pilot project - GOAP support,,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
58,Belize,BLZ,North America,Primary land,5,Belize,25,America,Caribbean,Belize,BLZ,TRUE,FALSE,Pilot project - GOAP support,,Local,Environmental-Economic,Environmental assets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,EnvironmentalAssets,EA,Environmental-Economic,1,1
59,Benin,BEN,Africa,Very small island,1,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
60,Benin,BEN,Africa,Primary land,5,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
61,Benin,BEN,Africa,Small island,2,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
62,Bermuda,BMU,North America,Small island,2,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
63,Bermuda,BMU,North America,Very small island,1,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
64,Bhutan,BTN,Asia,Primary land,5,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
65,Bolivia,BOL,South America,Primary land,5,"Bolivia, Plurinational State of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
66,Bonaire,BES,South America,Small island,2,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
67,Bosnia and Herzegovina,BIH,Europe,Primary land,5,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
68,Bosnia and Herzegovina,BIH,Europe,Very small island,1,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
69,Botswana,BWA,Africa,Primary land,5,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
70,Bouvet Island,BVT,Antarctica,Very small island,1,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
71,Bouvet Island,BVT,Antarctica,Small island,2,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
72,Brazil,BRA,South America,Small island,2,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
73,Brazil,BRA,South America,Very small island,1,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
74,Brazil,BRA,South America,Primary land,5,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
75,Brazil,BRA,South America,Medium island,3,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
76,British Indian Ocean Territory,IOT,Asia,Very small island,1,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
77,British Indian Ocean Territory,IOT,Asia,Small island,2,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
78,British Virgin Islands,VGB,North America,Very small island,1,United Kingdom,24,America,Caribbean,British Virgin Islands,VGB,FALSE,TRUE,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yes,TRUE,,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://bvi.gov.vg/sites/default/files/resources/virgin_islands_2019_ecosystem_account_summary_1.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
79,British Virgin Islands,VGB,North America,Small island,2,United Kingdom,24,America,Caribbean,British Virgin Islands,VGB,FALSE,TRUE,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yes,TRUE,,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://bvi.gov.vg/sites/default/files/resources/virgin_islands_2019_ecosystem_account_summary_1.pdf,,,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
80,Brunei Darussalam,BRN,Asia,Small island,2,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
81,Brunei Darussalam,BRN,Asia,Primary land,5,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
82,Brunei Darussalam,BRN,Asia,Very small island,1,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
83,Bulgaria,BGR,Europe,Small island,2,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
84,Bulgaria,BGR,Europe,Primary land,5,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
85,Bulgaria,BGR,Europe,Very small island,1,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
86,Burkina Faso,BFA,Africa,Primary land,5,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
87,Burundi,BDI,Africa,Primary land,5,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
88,Cabo Verde,CPV,Africa,Small island,2,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
89,Cabo Verde,CPV,Africa,Medium island,3,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
90,Cabo Verde,CPV,Africa,Primary land,5,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
91,Cabo Verde,CPV,Africa,Very small island,1,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
92,Cambodia,KHM,Asia,Primary land,5,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
93,Cambodia,KHM,Asia,Very small island,1,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
94,Cambodia,KHM,Asia,Small island,2,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
95,Cameroon,CMR,Africa,Small island,2,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
96,Cameroon,CMR,Africa,Primary land,5,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
97,Cameroon,CMR,Africa,Very small island,1,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
98,Canada,CAN,North America,Very small island,1,Canada,61,America,North America,Canada,CAN,FALSE,FALSE,"Canadian System of Environmental-Economic Accounting,Marine sectors in Canada","2023 and ongoing,2020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean Economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,",EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
99,Canada,CAN,North America,Primary land,5,Canada,61,America,North America,Canada,CAN,FALSE,FALSE,"Canadian System of Environmental-Economic Accounting,Marine sectors in Canada","2023 and ongoing,2020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean Economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,",EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
100,Canada,CAN,North America,Medium island,3,Canada,61,America,North America,Canada,CAN,FALSE,FALSE,"Canadian System of Environmental-Economic Accounting,Marine sectors in Canada","2023 and ongoing,2020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean Economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,",EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
101,Canada,CAN,North America,Large island,4,Canada,61,America,North America,Canada,CAN,FALSE,FALSE,"Canadian System of Environmental-Economic Accounting,Marine sectors in Canada","2023 and ongoing,2020",National,"Environmental-Economic,Ocean economic activity","Environmental assets and flows to economy,Ocean Economy",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes,",TRUE,"yes,","Yes,",FALSE,TRUE,TRUE,FALSE,,,FALSE,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015301,https://www.dfo-mpo.gc.ca/stats/maritime-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,https://www.dfo-mpo.gc.ca/stats/mar-method-eng.htm","https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2021001-eng.htm,",EnvironmentalAssets + FlowsToEconomy + OceanEconomy,EA + FEcon + OEcon,"Environmental-Economic, Ocean Economy",2,3
